Order ID,Order Date,Ship Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-1054,2016-07-23,2016-07-26,Same Day,Consumer,Washington,Central,Office Supplies,Appliances,572.21,8,0.1,55.36
CA-1055,2017-05-03,2017-05-05,Standard Class,Consumer,Texas,Central,Office Supplies,Appliances,257.89,2,0.1,39.55
CA-1056,2018-11-17,2018-11-20,Same Day,Home Office,Florida,South,Furniture,Furnishings,710.37,7,0.0,-36.76
CA-1057,2016-06-21,2016-06-24,Second Class,Corporate,Texas,East,Office Supplies,Binders,259.93,8,0.0,-41.38
CA-1058,2017-06-21,2017-06-22,Second Class,Corporate,Texas,Central,Technology,Copiers,629.75,4,0.0,-103.61
CA-1059,2016-02-04,2016-02-10,Second Class,Home Office,Illinois,South,Furniture,Tables,890.56,7,0.2,-8.7
CA-1060,2017-04-13,2017-04-19,First Class,Consumer,Illinois,Central,Furniture,Bookcases,331.51,6,0.1,68.68
CA-1061,2015-11-01,2015-11-05,Same Day,Home Office,California,East,Office Supplies,Appliances,43.64,6,0.2,-4.76
CA-1062,2017-09-19,2017-09-24,Same Day,Consumer,Washington,South,Furniture,Furnishings,275.19,5,0.2,-34.64
CA-1063,2017-05-26,2017-05-30,Standard Class,Consumer,New York,South,Office Supplies,Paper,414.3,3,0.2,-43.36
CA-1064,2016-10-17,2016-10-22,Standard Class,Home Office,Texas,West,Office Supplies,Labels,969.69,3,0.0,-0.57
CA-1065,2017-12-17,2017-12-19,Same Day,Corporate,Texas,Central,Technology,Accessories,30.22,5,0.1,5.93
CA-1066,2018-11-17,2018-11-21,First Class,Consumer,Florida,East,Technology,Phones,411.91,1,0.2,-24.67
CA-1067,2018-02-15,2018-02-16,Second Class,Home Office,California,West,Technology,Machines,661.9,5,0.0,183.63
CA-1068,2016-12-04,2016-12-09,Standard Class,Corporate,New York,Central,Office Supplies,Storage,613.66,7,0.2,-37.38
CA-1069,2018-12-29,2019-01-03,Standard Class,Corporate,Texas,East,Technology,Accessories,124.56,5,0.2,-17.9
CA-1070,2017-08-15,2017-08-19,Second Class,Corporate,Washington,East,Office Supplies,Storage,179.45,5,0.2,-3.85
CA-1071,2018-07-01,2018-07-07,Standard Class,Consumer,Florida,East,Office Supplies,Storage,651.52,6,0.0,158.54
CA-1072,2018-04-18,2018-04-20,Same Day,Consumer,New York,Central,Office Supplies,Storage,627.73,1,0.3,56.84
CA-1073,2016-05-30,2016-06-01,Second Class,Corporate,Illinois,West,Furniture,Chairs,31.38,4,0.3,3.04
CA-1074,2016-01-15,2016-01-16,Same Day,Consumer,Florida,West,Technology,Machines,460.96,3,0.2,99.84
CA-1075,2018-12-11,2018-12-13,Second Class,Corporate,California,West,Office Supplies,Paper,210.65,2,0.0,-32.18
CA-1076,2015-02-04,2015-02-05,Same Day,Consumer,New York,East,Technology,Copiers,657.44,2,0.2,-31.07
CA-1077,2018-05-04,2018-05-06,Standard Class,Corporate,New York,Central,Office Supplies,Labels,698.25,8,0.3,4.39
CA-1078,2017-10-17,2017-10-18,Second Class,Home Office,Florida,East,Furniture,Furnishings,550.23,5,0.0,46.36
CA-1079,2017-01-08,2017-01-09,First Class,Consumer,Florida,East,Furniture,Furnishings,732.99,4,0.1,-49.47
CA-1080,2015-04-06,2015-04-12,First Class,Home Office,Texas,East,Office Supplies,Binders,564.06,1,0.2,79.16
CA-1081,2015-08-05,2015-08-08,Second Class,Home Office,California,Central,Furniture,Furnishings,107.61,1,0.0,5.66
CA-1082,2016-12-29,2017-01-04,Same Day,Consumer,Florida,Central,Office Supplies,Storage,301.15,3,0.0,-52.18
CA-1083,2016-03-20,2016-03-21,Second Class,Home Office,Illinois,South,Office Supplies,Paper,847.91,9,0.2,188.85
CA-1084,2017-01-04,2017-01-08,Standard Class,Corporate,Florida,West,Technology,Phones,575.57,5,0.0,-30.73
CA-1085,2017-11-14,2017-11-18,Standard Class,Consumer,Illinois,East,Furniture,Bookcases,674.16,4,0.0,131.99
CA-1086,2016-07-22,2016-07-27,Second Class,Corporate,Florida,Central,Technology,Copiers,931.27,7,0.1,62.66
CA-1087,2018-03-02,2018-03-05,Second Class,Home Office,Illinois,West,Furniture,Furnishings,888.27,2,0.2,-91.32
CA-1088,2018-01-02,2018-01-04,Same Day,Consumer,Washington,East,Furniture,Bookcases,620.13,6,0.2,6.47
CA-1089,2018-04-06,2018-04-08,First Class,Consumer,Florida,West,Office Supplies,Appliances,399.67,2,0.0,22.65
CA-1090,2018-12-16,2018-12-19,First Class,Corporate,Texas,Central,Furniture,Furnishings,583.4,1,0.1,108.37
CA-1091,2016-05-25,2016-05-26,Same Day,Home Office,New York,East,Furniture,Chairs,593.93,4,0.1,82.37
CA-1092,2016-03-20,2016-03-24,Same Day,Corporate,Florida,Central,Office Supplies,Labels,560.61,3,0.2,7.73
CA-1093,2015-06-22,2015-06-27,First Class,Consumer,Texas,East,Technology,Copiers,408.18,4,0.3,52.46
CA-1094,2017-06-13,2017-06-14,Standard Class,Home Office,Florida,West,Office Supplies,Envelopes,745.49,3,0.0,-60.57
CA-1095,2016-05-19,2016-05-23,Same Day,Corporate,California,West,Technology,Phones,289.28,8,0.0,-25.52
CA-1096,2015-05-14,2015-05-16,Second Class,Corporate,Washington,South,Furniture,Bookcases,17.09,5,0.3,0.76
CA-1097,2015-07-22,2015-07-26,First Class,Home Office,New York,South,Technology,Machines,78.43,3,0.2,17.86
CA-1098,2018-11-26,2018-11-27,First Class,Home Office,Texas,West,Furniture,Furnishings,220.73,1,0.0,32.77
CA-1099,2018-07-06,2018-07-07,First Class,Consumer,Illinois,Central,Technology,Machines,915.68,8,0.1,22.93
CA-1100,2016-10-29,2016-11-03,First Class,Consumer,California,Central,Furniture,Furnishings,280.99,4,0.1,-1.48
CA-1101,2018-09-01,2018-09-03,First Class,Consumer,Illinois,Central,Office Supplies,Binders,269.61,5,0.0,-18.88
CA-1102,2016-05-16,2016-05-17,Second Class,Home Office,Illinois,East,Technology,Copiers,283.36,5,0.3,20.11
CA-1103,2017-01-21,2017-01-26,First Class,Consumer,California,West,Furniture,Furnishings,137.52,3,0.0,37.17
CA-1104,2017-06-01,2017-06-06,Second Class,Home Office,California,Central,Technology,Accessories,615.35,2,0.1,147.52
CA-1105,2018-06-19,2018-06-22,Second Class,Consumer,California,East,Office Supplies,Binders,49.99,7,0.3,-0.41
CA-1106,2017-12-24,2017-12-26,Standard Class,Consumer,California,West,Office Supplies,Storage,987.34,1,0.2,76.67
CA-1107,2015-03-04,2015-03-05,First Class,Consumer,Texas,West,Technology,Accessories,970.06,1,0.0,-163.21
CA-1108,2015-04-15,2015-04-18,Second Class,Home Office,Illinois,Central,Technology,Accessories,138.18,5,0.3,-15.7
CA-1109,2016-04-20,2016-04-21,Second Class,Consumer,Washington,West,Furniture,Furnishings,536.67,5,0.1,123.93
CA-1110,2017-11-12,2017-11-17,Standard Class,Home Office,California,West,Technology,Copiers,727.49,3,0.0,-57.8
CA-1111,2016-04-01,2016-04-07,Second Class,Consumer,Washington,West,Furniture,Tables,255.19,4,0.1,54.92
CA-1112,2016-05-02,2016-05-04,First Class,Home Office,California,South,Furniture,Tables,361.37,8,0.2,39.26
CA-1113,2016-11-04,2016-11-10,First Class,Consumer,Washington,East,Furniture,Tables,773.46,2,0.3,112.72
CA-1114,2015-08-24,2015-08-29,Standard Class,Home Office,Washington,West,Furniture,Bookcases,92.97,9,0.0,-12.36
CA-1115,2018-08-19,2018-08-24,Second Class,Consumer,Texas,East,Technology,Machines,622.21,2,0.2,-46.55
CA-1116,2018-12-16,2018-12-20,First Class,Corporate,Washington,West,Furniture,Bookcases,980.56,2,0.1,104.42
CA-1117,2018-09-20,2018-09-23,First Class,Consumer,New York,East,Office Supplies,Appliances,95.55,2,0.3,4.93
CA-1118,2017-09-10,2017-09-14,Standard Class,Corporate,New York,East,Furniture,Bookcases,301.47,3,0.0,82.83
CA-1119,2017-06-18,2017-06-20,Second Class,Consumer,Washington,East,Office Supplies,Paper,926.95,1,0.3,-108.28
CA-1120,2015-03-10,2015-03-12,Same Day,Corporate,California,West,Office Supplies,Binders,622.7,2,0.0,-59.43
CA-1121,2015-02-12,2015-02-15,Same Day,Home Office,California,Central,Technology,Machines,80.48,9,0.2,-8.75
CA-1122,2015-04-05,2015-04-08,Standard Class,Consumer,Texas,South,Office Supplies,Storage,143.13,8,0.3,-10.93
CA-1123,2015-10-08,2015-10-11,First Class,Consumer,New York,Central,Furniture,Furnishings,874.95,2,0.0,-90.87
CA-1124,2018-11-27,2018-12-02,First Class,Consumer,Texas,South,Technology,Phones,173.09,6,0.0,12.87
CA-1125,2016-10-06,2016-10-07,First Class,Consumer,Washington,Central,Office Supplies,Storage,359.21,2,0.0,18.57
CA-1126,2018-01-01,2018-01-03,First Class,Corporate,New York,West,Technology,Accessories,800.41,9,0.1,-114.63
CA-1127,2015-12-16,2015-12-19,Same Day,Home Office,Illinois,South,Office Supplies,Appliances,921.27,1,0.1,194.14
CA-1128,2015-01-08,2015-01-09,Standard Class,Consumer,Washington,East,Furniture,Chairs,599.29,4,0.2,32.74
CA-1129,2015-02-25,2015-03-03,Standard Class,Corporate,Illinois,Central,Office Supplies,Labels,239.94,7,0.1,6.75
CA-1130,2015-12-31,2016-01-02,First Class,Home Office,California,West,Office Supplies,Appliances,41.5,8,0.2,5.2
CA-1131,2017-07-07,2017-07-13,Second Class,Consumer,Florida,South,Office Supplies,Binders,750.87,2,0.1,-15.49
CA-1132,2017-11-04,2017-11-05,First Class,Corporate,Florida,East,Furniture,Chairs,738.72,7,0.0,162.78
CA-1133,2015-03-27,2015-03-29,Second Class,Consumer,Washington,South,Technology,Copiers,537.66,9,0.0,-15.34
CA-1134,2015-01-25,2015-01-29,Standard Class,Corporate,Washington,West,Office Supplies,Binders,358.33,9,0.0,14.26
CA-1135,2015-08-16,2015-08-22,Second Class,Consumer,Florida,Central,Technology,Accessories,588.91,8,0.3,6.53
CA-1136,2016-08-17,2016-08-19,Same Day,Corporate,Washington,Central,Office Supplies,Appliances,287.36,6,0.3,24.73
CA-1137,2015-11-11,2015-11-16,Second Class,Consumer,Florida,West,Furniture,Chairs,333.7,9,0.0,-65.48
CA-1138,2015-10-04,2015-10-10,Same Day,Consumer,New York,Central,Office Supplies,Envelopes,368.53,4,0.1,-35.4
CA-1139,2015-12-16,2015-12-17,Same Day,Home Office,Washington,South,Office Supplies,Labels,84.83,3,0.2,0.35
CA-1140,2016-07-01,2016-07-07,Same Day,Home Office,Washington,South,Office Supplies,Labels,400.87,4,0.2,66.88
CA-1141,2017-05-30,2017-06-05,Same Day,Home Office,Florida,Central,Technology,Copiers,175.03,3,0.1,41.7
CA-1142,2017-04-26,2017-04-29,Second Class,Home Office,Florida,East,Technology,Phones,573.75,3,0.0,106.0
CA-1143,2015-11-22,2015-11-24,First Class,Corporate,California,East,Office Supplies,Envelopes,327.06,3,0.3,12.32
CA-1144,2015-04-23,2015-04-27,Same Day,Consumer,Washington,East,Furniture,Tables,119.26,6,0.0,6.33
CA-1145,2017-04-24,2017-04-27,Second Class,Home Office,Florida,South,Office Supplies,Appliances,595.91,6,0.1,14.55
CA-1146,2015-09-18,2015-09-20,Same Day,Home Office,Florida,South,Technology,Phones,990.01,8,0.1,-139.06
CA-1147,2018-09-04,2018-09-09,Standard Class,Consumer,Texas,Central,Office Supplies,Labels,7.7,9,0.2,0.23
CA-1148,2018-12-13,2018-12-19,First Class,Home Office,Washington,South,Office Supplies,Labels,111.17,5,0.1,17.31
CA-1149,2015-11-30,2015-12-05,Second Class,Home Office,Texas,East,Office Supplies,Envelopes,732.21,9,0.1,-72.08
CA-1150,2016-05-27,2016-06-02,Standard Class,Consumer,Washington,West,Office Supplies,Paper,52.85,8,0.2,8.36
CA-1151,2015-09-27,2015-10-01,Same Day,Corporate,New York,South,Furniture,Chairs,167.84,5,0.0,34.79
CA-1152,2018-11-03,2018-11-09,Same Day,Home Office,Washington,East,Furniture,Furnishings,525.45,4,0.0,125.37
CA-1153,2015-03-30,2015-04-01,Second Class,Home Office,Illinois,East,Furniture,Bookcases,817.52,7,0.3,-6.6
CA-1154,2016-02-26,2016-02-27,Second Class,Home Office,New York,Central,Furniture,Chairs,748.87,1,0.0,-16.71
CA-1155,2017-10-03,2017-10-05,Standard Class,Corporate,Washington,East,Technology,Accessories,545.84,8,0.3,42.84
CA-1156,2015-07-17,2015-07-23,First Class,Consumer,Texas,East,Furniture,Chairs,336.15,3,0.3,34.56
CA-1157,2017-11-04,2017-11-09,First Class,Home Office,Texas,South,Office Supplies,Storage,497.95,7,0.2,77.4
CA-1158,2016-07-03,2016-07-04,Standard Class,Consumer,California,West,Technology,Phones,315.16,5,0.2,43.36
CA-1159,2018-07-01,2018-07-05,First Class,Corporate,California,Central,Technology,Machines,572.04,5,0.2,81.15
CA-1160,2018-02-15,2018-02-21,Standard Class,Corporate,California,South,Technology,Copiers,538.8,4,0.0,-73.41
CA-1161,2015-01-15,2015-01-20,First Class,Consumer,Illinois,East,Technology,Accessories,542.16,4,0.3,70.57
CA-1162,2018-12-05,2018-12-08,Standard Class,Consumer,Florida,East,Technology,Accessories,695.48,4,0.1,-46.38
CA-1163,2015-03-10,2015-03-14,Standard Class,Corporate,New York,East,Technology,Accessories,185.69,8,0.1,-14.43
CA-1164,2015-01-23,2015-01-25,First Class,Consumer,Texas,East,Technology,Machines,947.55,8,0.1,-127.58
CA-1165,2017-09-19,2017-09-23,First Class,Consumer,Illinois,Central,Office Supplies,Binders,595.0,4,0.3,61.78
CA-1166,2017-06-06,2017-06-11,Second Class,Corporate,California,East,Technology,Phones,708.7,1,0.3,-6.34
CA-1167,2017-10-10,2017-10-13,Same Day,Consumer,New York,Central,Technology,Machines,737.76,8,0.0,193.87
CA-1168,2018-12-01,2018-12-02,First Class,Corporate,California,West,Technology,Machines,117.67,5,0.1,23.24
CA-1169,2018-04-20,2018-04-21,First Class,Consumer,New York,West,Office Supplies,Envelopes,335.49,6,0.2,-23.16
CA-1170,2016-10-22,2016-10-23,Same Day,Corporate,New York,West,Office Supplies,Labels,745.53,4,0.0,-147.38
CA-1171,2017-07-25,2017-07-28,First Class,Home Office,California,Central,Office Supplies,Paper,401.18,9,0.1,93.85
CA-1172,2016-01-21,2016-01-23,Standard Class,Consumer,Washington,East,Furniture,Tables,483.43,1,0.3,-29.68
CA-1173,2017-05-25,2017-05-28,Second Class,Home Office,California,Central,Office Supplies,Paper,145.15,8,0.0,7.14
CA-1174,2016-12-10,2016-12-15,First Class,Corporate,California,West,Office Supplies,Labels,915.27,1,0.0,82.64
CA-1175,2016-10-23,2016-10-25,First Class,Consumer,New York,West,Furniture,Bookcases,18.03,5,0.0,-2.0
CA-1176,2018-01-12,2018-01-13,Same Day,Home Office,California,East,Furniture,Chairs,152.92,6,0.1,-21.65
CA-1177,2018-10-15,2018-10-16,Standard Class,Consumer,Illinois,Central,Office Supplies,Appliances,303.1,7,0.2,-23.05
CA-1178,2016-12-23,2016-12-29,Same Day,Home Office,Washington,West,Furniture,Furnishings,209.11,1,0.0,-2.33
CA-1179,2018-03-13,2018-03-16,Standard Class,Home Office,California,West,Office Supplies,Envelopes,70.38,3,0.2,3.59
CA-1180,2016-05-16,2016-05-20,Same Day,Home Office,New York,Central,Furniture,Furnishings,483.68,6,0.2,-47.35
CA-1181,2018-07-11,2018-07-16,First Class,Corporate,New York,Central,Furniture,Furnishings,80.13,3,0.3,-3.58
CA-1182,2015-06-11,2015-06-15,Standard Class,Consumer,Washington,South,Furniture,Furnishings,801.75,7,0.3,123.41
CA-1183,2018-11-15,2018-11-20,Standard Class,Corporate,California,Central,Furniture,Bookcases,410.94,9,0.2,-24.02
CA-1184,2016-03-18,2016-03-23,Standard Class,Consumer,Texas,South,Furniture,Tables,597.07,9,0.2,40.47
CA-1185,2017-12-10,2017-12-11,Standard Class,Home Office,Texas,West,Office Supplies,Labels,558.94,8,0.1,101.95
CA-1186,2018-01-16,2018-01-22,Second Class,Consumer,New York,West,Furniture,Chairs,605.18,4,0.3,56.78
CA-1187,2016-04-13,2016-04-19,Second Class,Corporate,Texas,East,Technology,Phones,296.68,2,0.2,27.68
CA-1188,2015-05-31,2015-06-05,Standard Class,Home Office,Florida,South,Office Supplies,Storage,31.4,3,0.3,2.67
CA-1189,2015-03-23,2015-03-25,Standard Class,Corporate,New York,Central,Office Supplies,Envelopes,911.07,5,0.3,-20.45
CA-1190,2017-10-19,2017-10-21,First Class,Consumer,Washington,West,Furniture,Chairs,366.24,7,0.3,55.2
CA-1191,2017-03-15,2017-03-21,Standard Class,Corporate,Washington,East,Office Supplies,Labels,774.97,9,0.1,160.79
CA-1192,2017-05-03,2017-05-07,First Class,Corporate,Illinois,West,Office Supplies,Labels,144.41,8,0.2,28.57
CA-1193,2015-05-08,2015-05-09,Standard Class,Corporate,Florida,Central,Furniture,Furnishings,487.35,1,0.1,74.93
CA-1194,2015-08-25,2015-08-26,First Class,Consumer,Washington,South,Furniture,Bookcases,261.6,6,0.1,51.2
CA-1195,2015-01-04,2015-01-06,Second Class,Consumer,Florida,South,Furniture,Chairs,528.06,2,0.2,59.82
CA-1196,2017-04-17,2017-04-19,First Class,Consumer,Florida,Central,Furniture,Furnishings,532.01,4,0.0,-33.5
CA-1197,2017-11-06,2017-11-11,Same Day,Consumer,California,South,Office Supplies,Storage,653.16,7,0.0,-127.04
CA-1198,2015-01-27,2015-01-28,Second Class,Corporate,California,South,Furniture,Tables,270.17,8,0.1,24.38
CA-1199,2017-03-31,2017-04-02,First Class,Home Office,New York,East,Office Supplies,Binders,914.84,5,0.3,118.76
CA-1200,2015-05-10,2015-05-14,Standard Class,Consumer,California,West,Furniture,Furnishings,958.83,1,0.2,-118.77
CA-1201,2018-10-26,2018-10-28,Second Class,Corporate,Illinois,South,Furniture,Chairs,72.91,8,0.2,-1.29
CA-1202,2018-02-10,2018-02-13,Second Class,Corporate,New York,East,Furniture,Furnishings,300.64,3,0.1,10.29
CA-1203,2016-09-14,2016-09-20,First Class,Corporate,Florida,West,Office Supplies,Binders,139.33,8,0.0,-9.06
CA-1204,2017-01-20,2017-01-24,Standard Class,Corporate,California,West,Office Supplies,Paper,166.2,4,0.2,29.68
CA-1205,2015-12-31,2016-01-03,Standard Class,Home Office,California,East,Technology,Machines,337.57,2,0.0,-9.39
CA-1206,2015-10-23,2015-10-24,Standard Class,Corporate,Washington,South,Technology,Accessories,415.73,8,0.1,11.17
CA-1207,2015-05-11,2015-05-13,First Class,Corporate,California,East,Furniture,Bookcases,800.42,3,0.1,-142.18
CA-1208,2016-06-07,2016-06-10,First Class,Corporate,Florida,South,Technology,Copiers,318.02,1,0.0,62.02
CA-1209,2015-01-12,2015-01-18,First Class,Corporate,Texas,East,Office Supplies,Paper,958.38,3,0.3,80.15
CA-1210,2018-01-09,2018-01-14,First Class,Corporate,Washington,South,Furniture,Bookcases,693.82,6,0.3,-36.51
CA-1211,2018-01-17,2018-01-21,Second Class,Consumer,Washington,West,Office Supplies,Appliances,225.1,9,0.0,30.38
CA-1212,2018-08-04,2018-08-06,First Class,Consumer,New York,West,Technology,Machines,590.32,1,0.2,36.79
CA-1213,2018-01-14,2018-01-16,First Class,Consumer,New York,South,Technology,Machines,316.29,5,0.2,-12.99
CA-1214,2016-11-18,2016-11-20,Same Day,Home Office,Texas,West,Furniture,Tables,424.65,2,0.2,78.48
CA-1215,2017-07-23,2017-07-26,Standard Class,Consumer,Illinois,Central,Technology,Accessories,322.5,7,0.0,40.34
CA-1216,2018-03-21,2018-03-24,First Class,Corporate,California,West,Office Supplies,Labels,562.87,2,0.2,66.71
CA-1217,2017-07-24,2017-07-26,Same Day,Home Office,California,East,Furniture,Furnishings,726.14,7,0.2,117.34
CA-1218,2018-10-04,2018-10-10,First Class,Corporate,Illinois,West,Furniture,Bookcases,322.16,2,0.0,78.28
CA-1219,2018-12-20,2018-12-24,Standard Class,Corporate,California,South,Furniture,Chairs,236.79,7,0.2,44.53
CA-1220,2016-02-18,2016-02-21,Second Class,Home Office,California,West,Office Supplies,Labels,875.33,2,0.3,163.17
CA-1221,2017-11-28,2017-12-04,Same Day,Home Office,New York,East,Furniture,Chairs,353.96,1,0.0,-64.14
CA-1222,2017-01-17,2017-01-18,Same Day,Home Office,Florida,Central,Office Supplies,Envelopes,582.85,9,0.1,-80.86
CA-1223,2018-10-14,2018-10-18,Standard Class,Home Office,New York,West,Technology,Machines,738.89,1,0.2,19.89
CA-1224,2016-01-11,2016-01-17,First Class,Consumer,Texas,Central,Technology,Accessories,853.56,2,0.1,72.64
CA-1225,2016-03-07,2016-03-08,Second Class,Consumer,Washington,South,Furniture,Bookcases,910.79,9,0.2,-5.71
CA-1226,2018-09-29,2018-10-03,Same Day,Corporate,New York,Central,Technology,Phones,222.16,5,0.0,-15.66
CA-1227,2018-11-04,2018-11-10,Standard Class,Home Office,Texas,East,Office Supplies,Binders,982.42,8,0.2,197.95
CA-1228,2015-08-14,2015-08-15,Same Day,Home Office,New York,East,Furniture,Chairs,744.64,4,0.2,0.47
CA-1229,2018-08-26,2018-08-31,Second Class,Home Office,New York,West,Technology,Accessories,831.49,2,0.0,-74.63
